resv_status,rn,adults,child,baby,room_type,id_client,oos,hk_Full_stay,checkout_year,checkout_month,checkout_day,checkout_day_name,hk_half_stay,total_HK
1,4,2,0,0,0,13464317,1,1,2023,2,10,6,0.5,1.5
1,4,2,0,0,0,14977699,1,1,2023,6,25,1,0.5,1.5
1,2,3,0,0,2,12253627,1,1,2022,10,19,4,0.0,1.0
1,1,2,0,0,0,11844215,1,1,2022,9,11,1,0.0,1.0
1,5,3,0,0,1,15041472,1,1,2023,5,25,5,0.5,1.5
1,2,2,0,0,1,15944517,1,1,2023,10,26,5,0.0,1.0
1,7,2,0,0,0,13045054,1,1,2023,9,11,2,0.5,1.5
1,4,2,0,0,1,10227841,1,1,2022,9,15,5,0.5,1.5
1,11,2,0,0,0,9075436,1,2,2022,5,16,2,1.0,3.0
1,2,2,0,0,0,9427734,1,1,2022,5,3,3,0.0,1.0
1,4,2,2,0,1,9630163,1,1,2022,8,7,1,0.5,1.5
1,1,2,0,0,0,10972590,1,1,2022,7,21,5,0.0,1.0
1,9,1,0,0,0,12778273,1,2,2022,12,19,2,1.0,3.0
1,5,2,2,0,1,13427650,1,1,2023,2,24,6,0.5,1.5
1,3,2,0,0,0,17420424,1,1,2023,9,10,1,0.0,1.0
1,1,3,0,0,1,7194692,1,1,2021,8,6,6,0.0,1.0
1,2,2,1,0,1,10510601,1,1,2022,7,9,7,0.0,1.0
1,7,2,0,0,0,13166238,1,1,2023,6,24,7,0.5,1.5
1,1,2,0,0,0,10219345,1,1,2022,6,16,5,0.0,1.0
1,7,2,0,0,0,10790118,1,1,2022,10,31,2,0.5,1.5
1,7,2,0,0,0,10338292,1,1,2022,10,23,1,0.5,1.5
1,4,2,0,0,1,10382540,1,1,2022,9,14,4,0.5,1.5
1,4,2,0,0,0,13850187,1,1,2023,4,14,6,0.5,1.5
1,2,6,0,0,2,13182826,1,1,2023,4,7,6,0.0,1.0
1,13,1,0,0,0,17238038,1,2,2023,10,19,5,1.5,3.5
1,2,1,0,0,1,19484728,1,1,2024,1,22,2,0.0,1.0
1,10,2,0,0,0,18510434,1,2,2023,11,17,6,1.0,3.0
1,2,2,0,0,1,17890536,1,1,2023,10,1,1,0.0,1.0
1,10,2,0,0,1,19583827,1,2,2024,4,27,7,1.0,3.0
1,3,2,0,0,1,17590822,1,1,2023,9,18,2,0.0,1.0
1,6,2,0,0,1,17598965,1,1,2023,10,21,7,0.5,1.5
1,2,2,0,0,0,18026217,1,1,2023,11,1,4,0.0,1.0
1,2,2,0,0,0,18960147,1,1,2024,2,17,7,0.0,1.0
1,10,2,0,0,0,18947421,1,2,2024,1,10,4,1.0,3.0
1,1,2,0,0,0,18126599,1,1,2023,10,14,7,0.0,1.0
1,1,2,0,0,0,18568095,1,1,2023,11,13,2,0.0,1.0
1,5,2,0,0,0,18237989,1,1,2023,11,5,1,0.5,1.5
1,6,1,0,0,0,17550787,1,1,2023,10,31,3,0.5,1.5
1,5,2,0,0,0,18389079,1,1,2023,11,6,2,0.5,1.5
1,4,1,0,0,0,19673937,1,1,2024,4,17,4,0.5,1.5
1,5,2,0,0,0,18752529,1,1,2023,12,12,3,0.5,1.5
1,5,1,0,0,0,18094223,1,1,2023,10,17,3,0.5,1.5
1,4,2,0,0,0,18080332,1,1,2023,10,28,7,0.5,1.5
1,2,2,0,0,0,18960094,1,1,2024,2,12,2,0.0,1.0
1,7,2,0,0,0,18958348,1,1,2024,2,17,7,0.5,1.5
1,2,1,0,0,0,19657750,1,1,2024,3,9,7,0.0,1.0
1,7,2,0,0,0,18723647,1,1,2023,12,24,1,0.5,1.5
1,13,1,0,0,1,17758299,1,2,2023,10,30,2,1.5,3.5
1,4,2,0,0,0,18429657,1,1,2023,11,7,3,0.5,1.5
1,12,2,0,0,0,18891134,1,2,2024,1,19,6,1.5,3.5
1,4,2,0,0,0,18387912,1,1,2023,11,19,1,0.5,1.5
1,13,1,0,0,1,17978467,1,2,2023,11,11,7,1.5,3.5
1,1,2,0,0,0,18960114,1,1,2024,2,14,4,0.0,1.0
1,4,1,0,0,0,17705862,1,1,2023,10,9,2,0.5,1.5
1,1,2,0,0,0,18591749,1,1,2023,11,21,3,0.0,1.0
1,21,2,0,0,1,18122530,1,3,2023,11,12,1,2.5,5.5
1,3,2,2,0,1,14209605,1,1,2023,8,29,3,0.0,1.0
1,1,4,3,0,3,16445358,1,1,2023,8,9,4,0.0,1.0
1,5,1,0,0,0,9370518,1,1,2022,4,27,4,0.5,1.5
1,1,2,0,0,0,18922142,1,1,2023,12,15,6,0.0,1.0
1,4,2,4,0,2,10264375,1,1,2022,7,8,6,0.5,1.5
1,3,2,0,0,1,15516181,1,1,2023,6,25,1,0.0,1.0
1,1,2,0,0,0,9631913,1,1,2022,8,20,7,0.0,1.0
1,1,2,0,0,0,13550131,1,1,2023,2,13,2,0.0,1.0
1,16,2,0,0,1,12738532,1,3,2022,12,20,3,2.0,5.0
1,1,4,0,0,1,16986916,1,1,2023,10,2,2,0.0,1.0
1,3,2,0,0,1,12213557,1,1,2022,10,13,5,0.0,1.0
1,2,2,0,0,0,13400847,1,1,2023,2,3,6,0.0,1.0
